Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.01968200000,2.56000,2.44000
-0.01968000156,2.56000,2.44000
-0.01967800000,2.56000,2.44000
-0.01967600000,2.60000,2.44000
-0.01967400000,2.60000,2.44000
-0.01967200000,2.56000,2.44000
-0.01967000000,2.56000,2.44000
-0.01966800000,2.56000,2.44000
-0.01966600000,2.60000,2.48000
-0.01966400000,2.60000,2.44000
-0.01966200000,2.56000,2.44000
-0.01966000000,2.56000,2.44000
-0.01965800000,2.84000,2.72000
-0.01965600000,2.56000,2.44000
-0.01965400000,2.56000,2.44000
-0.01965200000,2.56000,2.44000
-0.01964999844,2.56000,2.44000
-0.01964800000,2.60000,2.48000
-0.01964600000,2.60000,2.44000
-0.01964400000,2.56000,2.44000
-0.01964199844,2.56000,2.44000
-0.01964000000,2.56000,2.44000
-0.01963800000,2.56000,2.44000
-0.01963600000,2.56000,2.44000
-0.01963399844,2.56000,2.44000
-0.01963200000,2.64000,2.48000
-0.01963000000,2.56000,2.44000
-0.01962800000,2.64000,2.52000
-0.01962599844,2.56000,2.44000
-0.01962400000,2.80000,2.64000
-0.01962200000,2.56000,2.44000
-0.01962000000,2.60000,2.48000
-0.01961800156,2.60000,2.44000
-0.01961600000,2.56000,2.44000
